title,description,author,isbn10,isbn13,publish_date,edition,best_seller,top_rated ,rating,review_count,price
COMPTIA SECURITY+SY0-601,A complete SY0-601 training and certification guide to start your cyber security career, Liam Smith,,979-8420040331,20-02-2022,1,No,No,4.8,8,$18.90
PHP and Algorithmic Thinking for the Complete Beginner (2nd Edition),Learn to Think Like a Programmer, Aristides S Bouras,,,,1,No,No,,,
Developing Solutions for Microsoft Azure AZ-204 Exam Guide,Discover the essentials for success when developing and maintaining cloud-based solutions on Azure, Paul Ivey,1803237066,978-1803237060,19-10-2022,1,No,No,4.7,13,$49.99
PowerShell for Beginners,The Complete Guide to Master Windows PowerShell Scripting,Chase Clarke,,979-8622958502,09-03-2020,1,No,No,3.6,95,$12.95
MDM,"Fundamentals, Security, and the Modern Desktop: Using Intune, Autopilot, and Azure to Manage, Deploy, and Secure Windows 10",Jeremy Moskowitz,1119564328,978-1119564324,12-07-2019,1,No,No,4.6,117,$39.25
Learning Microsoft Intune,Unified Endpoint Management with Intune & the Microsoft 365 product suite (2023 Edition),Scott Duffey,645127965,978-0645127966,06-01-2023,2,No,No,4.8,32,$26.99
Mastering Microsoft Endpoint Manager,"Deploy and manage Windows 10, Windows 11, and Windows 365 on both physical and cloud PCs",Christiaan Brinkhoff,1801078998,978-1801078993,07-10-2021,1,No,No,4.7,108,$40.63
Securing Microsoft 365,2nd Edition. Defending against the top Cybersecurity threats in Microsoft 365, Joe Stocker,1956630198,978-1956630190,26-09-2022,1,No,No,4.7,22,$25.48
Official Google Cloud Certified Associate Cloud Engineer Study Guide,, Dan Sullivan,1119564417,978-1119564416,16-04-2019,1,No,No,4.5,573,$50.00
PHP and Algorithmic Thinking for the Complete Beginner (2nd Edition),Learn to Think Like a Programmer, Aristides S Bouras ,,979-8657362534,03-07-2020,1,No,No,4.7,13,$39.99
GitHub For Dummies,,Sarah Guthals,1119572673,978-1119572671,29-05-2019,1,No,No,4.3,132,$20.49
"xchg rax,rax",, xorpd,1502958082,978-1502958082,09-12-2014,1,No,No,4.6,273,$10.00
Introduction to Computer Organization,An Under the Hood Look at Hardware and x86-64 Assembly,Robert Plantz,1718500092,978-1718500099,25-01-2022,1,No,No,4.6,6,$41.99
Assembly x64 in easy steps,"Modern coding for MASM, SSE & AVX",Mike McGrath,1840789522,978-1840789522,09-11-2021,1,No,No,4.4,40,$4.79
HTML5 and CSS3 All-in-One For Dummies,,Andy Harris,,978-1118289389,08-01-2014,3,No,No,4.6,518,$39.99
The Ghidra Book,The Definitive Guide,Chris Eagle,1718501021,978-1718501027,01-09-2020,1,No,No,4.8,170,$44.10
Raspberry Pi Operating System Assembly Language,,Bruce Smith,648098737,978-0648098737,18-03-2021,1,No,No,4.4,36,$19.99
MIPS Assembly Language Programming,,Robert Britton Professor Emeritus,131420445,978-0131420441,28-05-2003,1,No,No,4.3,49,$87.77
Retro Game Dev: C64 Edition (RetroGameDev),,Derek Morris,692980652,978-0692980651,28-11-2017,1,No,No,4.3,330,$16.99
"The Art of 64-Bit Assembly, Volume 1",x86-64 Machine Organization and Programming,Randall Hyde,1718501080,978-1718501089,30-11-2021,1,No,No,4.2,32,$50.47
Learn Multiplatform Assembly Programming with ChibiAkumas,Volume 2!,Keith 'Akuyou',,979-8428314304,17-03-2022,1,No,No,4.8,31,$18.99
Assembly Language for x86 Processors,,Kip Irvine,133769402,978-0133769401,11-03-2014,7,No,No,4.4,188,$19.90
Programming the 65816,"Including the 6502, 65C02, and 65802",David Eyes,893037893,978-0893037895,04-11-2015,1,No,No,4.3,54,$45.45
"The IDA Pro Book, 2nd Edition",The Unofficial Guide to the World's Most Popular Disassembler,Chris Eagle,1593272898,978-1593272890,14-07-2011,2,No,No,4.4,78,$66.45
Making Games for the Atari 2600,,Steven Hugg,1541021304,978-1541021303,22-12-2016,1,No,No,4.6,108,$29.99
Python All-In-One For Dummies,,John C. Shovic,1119557593,978-1119557593,07-05-2019,1,No,No,4.5,288,$5.51
Learn Multiplatform Assembly Programming with ChibiAkumas!,,Keith 'Akuyou',,979-8847743914,05-11-2022,1,No,No,4.6,147,$9.99
Basic IBM Mainframe Assembly Language Programming,,Kevin C O'Kane,146357875X,978-1463578756,21-06-2011,1,No,No,4.1,27,$15.99
RISC-V Assembly Language,,Anthony J. Dos Reis,1088462006,978-1088462003,12-08-2019,1,No,No,4.4,60,$19.89
ARM Assembly Language Programming with Raspberry Pi using GCC,,Sepehr Naimi,197005400X,978-1970054002,27-11-2018,1,No,No,4.6,37,$21.00
Embedded Systems with ARM Cortex-M Microcontrollers in Assembly Language and C,Third Edition,Yifeng Zhu,982692668,978-0982692660,01-07-2017,3,No,No,4.3,155,$59.50
"The Art of Assembly Language, 2nd Edition Second Edition",,Randall Hyde,1593272073,"978-1593272074

",,2,No,No,3.9,70,$55.75
Bare Metal C,Embedded Programming for the Real World,Stephen Oualline,1718501625,978-1718501621,02-08-2022,1,No,No,3.9,9,$34.49
ChatGPT & Social Media Marketing,The Ultimate Guide to Succeeding on Social Media. Discover how Artificial Intelligence can make you the world's best Social Media Manager.,Ryan Turner,,979-8377429050,14-02-2023,1,No,No,4.6,234,$14.49
The Art of Prompt Engineering with chatGPT,A Hands-On Guide (Learn AI Tools the Fun Way!),Nathan Hunter,1739296710,978-1739296711,19-01-2023,1,No,No,4,100,$19.82
GPT Chat Become a Millionaire,Capture the AI GPT Chat Market and Become a Millionaire,QUINN BURNS,,979-8394161452,11-05-2023,1,No,No,4.9,580,$12.29
THE GPT,Unleash the Power of Al for Unlimited Creativity and Make Money Online Easily,Elias Coleman,,979-8388993472,29-03-2023,1,No,No,4.9,430,$19.97
The AI Revolution in Medicine,GPT-4 and Beyond,Peter Lee,138200130,978-0138200138,06-05-2023,1,No,No,4.5,40,$26.99
Age of Invisible Machines,A Practical Guide to Creating a Hyperautomated Ecosystem of Intelligent Digital Workers,Robb Wilson,1119899923,978-1119899921,27-09-2022,1,No,No,4.4,84,$24.49
The Age of AI,And Our Human Future,Henry A Kissinger,316273996,978-0316273992,01-11-2022,1,No,No,4.2,1217,$13.99
OPTIONS TRADING,The Complete Crash Course for Beginners to Learn How to Trade Like a Pro Using The Best Strategies to Maximize Your Profit | Reduce Risk of Loss As a Top 1% Trader,Noah Smith,,979-8372672925,05-01-2023,1,Yes,No,4.7,1776,$20.67
The 3 Best Options Strategies For Beginners,"The Ultimate Guide To Making Extra Income On The Side By Trading Covered Calls, Credit Spreads & Iron Condors",Freeman Publications,,979-8730629646,30-03-2021,1,No,No,4.5,185,$20.70
Cryptocurrency Investing,Step-By-Step Guide to Benefit from Crypto by Investing Long Term and Trading Short Term Following the Smart Money Strategies on DeFi Blockchains,John Bax,,979-8392886197,28-04-2023,1,No,No,4.8,154,$15.95
Backstage Guide to Real Estate,"Produce Passive Income, Write Your Own Story, and Direct Your Dollars Toward Positive Change",Matt Picheny,1737538407,978-1737538400,09-02-2022,1,No,No,4.9,66,$19.99
The Ultimate Vacation Rental Handbook,Lessons learned scaling from 1 short term rental to over 40,Jon Ballard,,979-8391346616,14-04-2023,1,No,No,4.5,11,$18.70
Rental Property Strategies,"The Best Ways To Invest In Real Estate To Achieve Financial Freedom In A Few Years (Real Estate Investing - Financial Freedom, Passive Income, Wealth, and Early Retirement)",Michael Steven,,979-8538850907,16-07-2021,1,No,No,4.5,106,$19.63
The Book on Tax Strategies for the Savvy Real Estate Investor,"Powerful techniques anyone can use to deduct more, invest smarter, and pay far less to the IRS! (Tax Strategies, 1)",Amanda Han,990711765,978-0990711766,18-02-2016,1,No,No,4.7,1319,$19.79
Recession-Proof Real Estate Investing,How to Survive (and Thrive!) During Any Phase of the Economic Cycle,J Scott,1947200062,978-1947200067,28-03-2019,1,No,No,4.7,236,$17.49
Retire Rich with Rentals,How to Enjoy Ongoing Cash Flow From Real Estate...So You Don't Have to Work Forever,Kathy Fettke,1500881589,978-1500881580,04-11-2014,1,No,No,4.5,193,$19.99
"Mindset, Methods & Metrics",Winning as a Modern Real Estate Agent,Brandon Doyle,1548351431,978-1548351434,28-06-2016,1,No,No,4.4,48,$19.95
The Legend of Zelda,Breath of the Wild-Creating a Champion Hero's Edition,Nintendo,1506710115,978-1506710112,20-11-2018,1,no,No,4.9,6792,$60.36
"Rosetta Stone Spanish - English Picture Dictionary | Learn Español for Kids and Beginners with 500 Bilingual Words and Useful Phrases | Basic Spanish Vocabulary, Numbers, Colors, Animals, Foods & More",,Rosetta Stone,1947569597,978-1947569591,30-10-2022,1,no,No,4.7,65,$10.76
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide & Practice Tests Bundle,,Mike Chapple,1119790026,978-1119790020,07-07-2021,3,no,No,4.8,997,$54.68
Chat GPT Bible - 10 Books in 1,"Everything You Need to Know about AI and Its Applications to Improve Your Life, Boost Productivity, Earn Money, Advance Your Career, and Develop New Skills.",Codi Byte,,979-8393844097,07-05-2023,1,Yes,No,5,"1,445",$19.99
Cold Start Problem,,Andrew Chen,,979-8200747054,07-12-2021,1,no,No,4.5,"1,023",$46.99
Start with Why,How Great Leaders Inspire Everyone to Take Action,Simon Sinek,,978-1591846444,27-12-2011,1,Yes,No,4.6,"34,293",$9.99
The ChatGPT Millionaire: Making Money Online has never been this EASY,,Neil Dagger,,979-8374102581,19-01-2023,1,Yes,No,4.3,"1,021",$12.99
Building a StoryBrand,Clarify Your Message So Customers Will Listen,Donald Miller,,978-1400201839,10-10-2017,1,Yes,No,4.7,"9,112",$15.00
Digital Marketing Mastery with ChatGPT,The Ultimate AI-Driven Guide,Robert Testa,,979-8390257203,05-04-2023,1,no,No,5,3,$13.22
Excel Formulas (Quick Study Computer),,Inc. BarCharts,1423221699,978-1423221692,31-12-2013,1,Yes,No,4.5,"2,925",$5.95
"One Million Followers, Updated Edition",How I Built a Massive Social Following in 30 Days,Brendan Kane,195066547X,978-1950665471,03-11-2020,1,no,No,4.4,"1,870",$24.26
The Phoenix Project,"A Novel about IT, DevOps, and Helping Your Business Win 5th Anniversary Edition",Gene Kim,1942788290,978-1942788294,27-02-2018,5,no,No,4.6,"19,511",$17.37
Palo Alto,"A History of California, Capitalism, and the World",Malcolm Harris,316592013,978-0316592017,14-02-2023,1,yes,No,3.7,120,$29.71
Designing Machine Learning Systems,An Iterative Process for Production-Ready Applications,Chip Huyen,1098107969,978-1098107963,21-06-2022,1,no,No,4.7,282,$36.49
WINDOWS 11 USER GUIDE,"An Easy, Step-By-Step Guide On Mastering The Usage Of Windows 11. Learn The Best Tips & Tricks, And Discover The Most Useful Secrets To Get The Max Out Of Your Pc",Elias Coleman,,979-8378179855,19-02-2023,1,no,No,4.9,605,$18.68
Excel All-in-One For Dummies (For Dummies (Computer/Tech)),,Paul McFedries,1119830729,978-1119830726,14-12-2021,1,no,No,4.4,532,$26.49
Social Media Marketing Workbook,"How to Use Social Media for Business (2023 Marketing - Social Media, SEO, & Online Ads Books)",Jason McDonald Ph.D.,,979-8368326504,13-12-2022,1,yes,No,4.3,222,$35.04
Excel Tips & Tricks (Quick Study Computer),,Inc. BarCharts,1423205421,978-1423205425,18-11-2008,1,yes,No,4.5,"2,185",$5.95
The Amazon Self Publisher,How to Sell More Books on Amazon,Dale L. Roberts,1950043258,978-1950043255,19-01-2021,1,no,No,4.7,34,$24.99
Expert Secrets,The Underground Playbook for Converting Your Online Visitors into Lifelong Customers,Russell Brunson,,978-9391067922,23-06-2020,1,no,No,4.7,"1,564",$17.31
YouTube Secrets,The Ultimate Guide to Growing Your Following and Making Money as a Video Influencer,Sean Cannell,1544511817,978-1544511818,16-08-2018,1,no,No,4.6,"3,145",$13.69
Build,An Unorthodox Guide to Making Things Worth Making,Tony Fadell,63046067,978-0063046061,03-05-2022,1,no,No,4.7,"2,018",$21.49
Good Power,"Leading Positive Change in Our Lives, Work, and World",Ginni Rometty,1647823226,978-1647823221,07-03-2023,1,no,No,4.4,151,$17.99
The Day Google Disappeared:,Understanding the State of the World without Google,Reynold J. Branche BSc MBA,9769708585,978-9769708587,07-05-2023,1,no,No,0,0,$15.95
Search Engine Artistry:,A User's Guide to Optimizing Your Web Searches,Reynold J. Branche BSc MBA,9769708542,978-9769708549,25-04-2023,1,no,No,0,0,$15.95
West with Giraffes:,A Novel,Lynda Rutledge,1542023343,"978-1542023344
",01-02-2021,1,no,No,4.7,71271,$12.99
Building a StoryBrand:,Clarify Your Message So Customers Will Listen,Donald Miller,718033329,978-0718033323,10-10-2017,1,no,No,4.7,9112,$15.00
Fanatical Prospecting:,"The Ultimate Guide to Opening Sales Conversations and Filling the Pipeline by Leveraging Social Selling, Telephone, Email, Text, and Cold Calling (Jeb Blount)",Jeb Blount,1119144752,978-1119144755,05-10-2015,1,no,No,4.7,4258,$21.99
JavaScript Simplified:,"The computer language book reinvented, with free interactive exercises and ChatGPT coaching",Mark Myers,,978-1119144755,09-05-2023,1,no,No,5,1,$19.95
Facebook for Seniors in easy steps,,David Crookes,1840789220,978-1840789225,24-12-2020,1,no,No,4.1,53,$13.99
Cloud Governance:,Basics and Practice (Professors of Practice) (Issn),Steven Mezzio,3110755262,978-3110755268,05-12-2022,1,no,No,5,4,$29.99
YouTube Secrets:,The Ultimate Guide to Growing Your Following and Making Money as a Video Influencer,Sean Cannell,1544511817,978-1544511818,16-08-2018,1,no,No,4.6,3145,$13.69
Dotcom Secrets:,The Underground Playbook for Growing Your Company Online with Sales Funnels,Russell Brunson,9391067301,978-9391067304,23-06-2020,1,no,No,4.7,1938,$17.99
Position Your Brand:,Shopify Made Easy [2022] (Ecommerce Online Store Tool Kit),Veronica Jeans,,979-8835883479,13-06-2022,1,no,No,4.6,6,$29.99
"Deep Learning with Python, Second Edition",,Francois Chollet,1617296864,978-1617296864,21-12-2021,2,no,No,4.7,254,$47.99
Practical Statistics for Data Scientists:,50+ Essential Concepts Using R and Python,Peter Bruce,149207294X,978-1492072942,16-06-2020,2,no,No,4.6,700,$38.49
Learning JavaScript Design Patterns:,A JavaScript and React Developer's Guide,Addy Osmani,1098139879,978-1098139872,06-06-2023,2,no,No,,,$59.39
Articulating Design Decisions:,"Communicate with Stakeholders, Keep Your Sanity, and Deliver the Best User Experience",Tom Greever,1492079227,978-1492079224,08-09-2020,2,no,No,4.7,338,$28.49
Deep Learning for Coders with Fastai and PyTorch:,AI Applications Without a PhD,Jeremy Howard,1492045527,978-1492045526,25-08-2020,1,no,No,4.8,458,$38.49
"Princeton Review AP Computer Science Principles Prep, 2023",3 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation),,593450736,978-0593450734,02-08-2022,1,YES,NO,4.4,36,$15.99
"Princeton Review AP World History: Modern Premium Prep, 2023",6 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation),The Princeton Review,593450949,978-0593450949,02-08-2022,1,Yes,No,4.6,136,$21.99
"Princeton Review AP World History: Modern Prep, 2023",3 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation),The Princeton Review,593450957,978-0593450956,02-08-2022,1,YES,No,4.7,32,$17.19
"The Official ACT Prep Guide 2022-2023, (Book + Online Course)",The Most Effective ACT Strategies Ever Published,ACT,1119865905,978-1119865902,10-05-2022,1,yes,NO,4.6,10290,$29.60
ACT Prep Black Book,ACT Prep Black Book,Mike Barrett,9.78E+12,978-0692078396,15-02-2018,2,NO,NO,4.5,1322,$26.99
ACT Prep Questions Book 2021-2022,3 ACT Practice Tests with Detailed Answer Explanations,ACT,1637752482,978-1637752487,22-02-2021,4,NO,NO,4.7,50,$12.99
The Official ACT Mathematics Guide,The Official ACT Mathematics Guide,ACT,1119787335,978-1119787334,22-06-2021,2,YES,NO,4.4,139,$18.89
Computer Science: Discovering God's Glory in Ones and Zeros,,Jonathan R. Stoddard,1596389907,978-159638990,16-03-2015,1,NO,NO,4.5,16,$4.99
USE WHAT YOU HAVE,Making The Most Of Your God-Given Gifts And Abilities,Richardson George,057824134X,978-0578241340,06-11-2020,1,NO,NO,4.3,16,$8.89
Introduction to Computer Science,A Textbook for Beginners in Informatics,Gilbert Brands,1492827843,978-1492827849,11-10-2013,1,NO,NO,3.8,19,$12.20
Coding for Beginners,Learn Computer Programming the Right Way,K. Connors,1981927093,978-1981927098,978-1981927098,1,NO,NO,3.8,47,$17.38
Computer Programming: The Bible,"The Basics to Advanced of Python, C, C++, C#, HTML Coding, and Black Hat Hacking Step-by-Step IN NO TIME!",CyberPunk Architects,1727521900,978-1727521900,22-09-2018,1,NO,NO,3.9,187,$14.97
Coding All-in-One For Dummies (For Dummies (Computer/Tech)),,Chris Minnick,1119889561,978-1119889564,02-08-2022,2,NO,NO,4.6,36,$29.99
Cybersecurity For Dummies (For Dummies (Computer/Tech)),,Joseph Steinberg,1119867185,978-1119867180,08-04-2022,2,NO,NO,4.6,146,$23.99
Networking All-in-One For Dummies (For Dummies (Computer/Tech)),,Doug Lowe,1119689015,978-1119689010,04-05-2021,8,NO,NO,4.6,404,$27.49
Hacking For Dummies (For Dummies (Computer/Tech)),,Kevin Beaver,1119872197,978-1119872191,08-04-2022,7,NO,NO,4.5,60,$21.49
Linux For Beginners,"The Basics Of Kali Linux Operating System. Essentials For Installation, Configuration And Command Line And A Precise Guide About ... And Hacking Tools (Linux Bible)",Darwin Growth,,979-8378297627,20-02-2023,1,NO,NO,4.9,1234,$9.99
Learn Linux Quickly,A Comprehensive Guide for Getting Up to Speed on the Linux Command Line (Ubuntu) (Crash Course With Hands-On Project),Code Quickly,1951791835,978-1951791834,23-12-2021,1,NO,NO,4.7,250,$16.89
Python Programming and SQL,The Definitive Guide for Beginners to Learn Python and SQL in 7 Days with Step-by-Step Guidance and Hands-On Exercises,Philip Robbins,,979-8393423469,03-05-2023,1,NO,NO,5,145,$11.97
Object-Oriented Python,Master OOP by Building Games and GUIs,Irv Kalb,1718502060,978-1718502062,25-01-2022,1,NO,NO,4.7,112,$30.00
PYTHON Programming Mastery Unlock the Secrets of a High-Demand Skillset,Learn Python Programming from Zero to Hero with Real-World Exercises & Examples for a Successful Career in The Tech Industry,Mark Clifferland,,979-8392299553,23-04-2023,1,NO,NO,5,922,$23.46
The Self-Taught Programmer,: The Definitive Guide to Programming Professionally,Cory Althoff,999685902,978-0999685907,24-01-2017,1,NO,NO,4.5,1080,$19.68
he Self-Taught Computer Scientist:,The Beginner's Guide to Data Structures & Algorithms,Cory Althoff,1119724414,978-1119724414,01-10-2021,1,NO,NO,4.5,114,$19.49
Excel,"The Complete Illustrative Guide for Beginners to Learning any Fundamental, Formula, Function and Chart in Less than 5 Minutes with Simple and Real-Life Examples",Nigel Tillery,,979-8824373264,23-05-2022,1,Yes,NO,4.4,1568,$19.57
101 Most Popular Excel Formulas (101 Excel Series),,John Michaloudis,1700300911,978-1700300911,22-10-2019,1,NO,NO,4.5,1080,$17.99
Microsoft Word 2023,The Most Updated Crash Course from Beginner to Advanced | Learn All the Functions and Features to Become a Pro in 7 Days or Less,by James Holler,,979-8364609687,19-11-2022,1,NO,NO,4.8,620,$14.97
Microsoft Office 365 For Beginners:,"The 1# Crash Course From Beginners To Advanced. Easy Way to Master The Whole Suite in no Time | Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams & Access",Leonard J. Ledger,,979-8354840113,26-09-2022,1,No,No,4.9,456,$21.97
Clean Code in PHP,"Expert tips and best practices to write beautiful, human-friendly, and maintainable PHP", Carsten Windler ,1804613878,978-1804613870,31-Oct-22,1,No,No,4.8,6,$34.99 
Hands-On Azure Digital Twins,A practical guide to building distributed IoT solutions,Alexander Meijers,1801071381,978-1801071383,03-Mar-22,1,No,No,3.6,11,$50.39 
Certified Ethical Hacker (CEH) v12 312-50 Exam Guide,Keep up to date with ethical hacking trends and hone your skills with hands-on activities, Dale Meredith,1801813094,978-1801813099,08-Jul-22,1,No,No,5,5,$44.99 
"Mike Meyers' CompTIA Network+ Certification Passport, Seventh Edition (Exam N10-008) (Mike Meyers' Certification Passport)",,Jonathan Weissman,1264268963,978-1264268962,07-Jun-22,7,No,No,4.6,23,$30.06 
CEHv12 - Certified Ethical Hacker,Exam Cram Notes: First Edition - 2023, IP Specialist,,979-8374157079,18-Jan-23,1,No,No,3.1,3,$24.99 
CEHv12- Certified Ethical Hacker,Study Guide with Practice Questions and Labs: First Edition - 2023, IP Specialist,,979-8371833662,30-Dec-22,1,No,No,3.8,13,$44.99 
PHP & MySQL,Server-side Web Development,Jon Duckett,1119149223,978-1119149224,15-Feb-22,1,Yes,No,4.8,449,$26.99 
"PHP 8 Objects, Patterns, and Practice","Mastering OO Enhancements, Design Patterns, and Essential Development Tools", Matt Zandstra,1484267907,978-1484267905,03-Apr-21,6,No,No,4.7,47,$32.15 
Laravel,Up & Running: A Framework for Building Modern PHP Apps,Matt Stauffer,1492041211,978-1492041214,20-Apr-19,2,No,No,4.5,155,$31.99 
Programming PHP,Creating Dynamic Web Pages, Kevin Tatroe,1492054135,978-1492054139,21-Apr-20,4,No,No,4.7,72,$30.07 
Android Studio Flamingo Essentials - Java Edition,Developing Android Apps Using Android Studio 2022.2.1 and Java, Neil Smyth,1951442717,978-1951442712,16-May-23,1,No,No,0,0,$49.99 
JavaScript and jQuery, Interactive Front-End Web Development ,Jon Duckett,,978-1118531648,30-Jun-14,1,No,No,4.6,2170,$26.99 
"PHP 8 Programming Tips, Tricks and Best Practices","A practical guide to PHP 8 features, usage changes, and advanced programming techniques", Doug Bierer,180107187X,978-1801071871,27-Aug-21,1,No,No,4.6,15,$51.99 
Programming,"4 Manuscripts in 1 book: Python For Beginners, Python 3 Guide, Learn Java, Excel 2016",Timothy C. Needham,1728914671,978-1728914671,17-Oct-18,1,No,No,4.4,2167,$27.97 
Transitioning to Java,Kickstart your polyglot programming journey by getting a clear understanding of Java, Ken Fogel,1804614017,978-1804614013,28-Apr-23,1,No,No,4.5,2,$44.99 
Java,The Ultimate Beginner's Guide to Learn Java Quickly With No Prior Experience (Computer Programming), Mark Reed,,979-8387893131,21-Mar-23,1,No,No,5,162,$24.99 
Learn Java 17 Programming,"Learn the fundamentals of Java Programming with this updated guide with the latest features, 2nd Edition",Nick Samoylov,1803241438,978-1803241432,29-Jul-22,2,No,No,4.3,17,$39.99 
Learning Spring Boot 3.0,"Simplify the development of production-grade applications using Java and Spring, 3rd Edition ",Greg L. Turnquist,1803233303,978-1803233307,30-Dec-22,3,No,No,4.4,18,$37.49 
